Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
userRegistration,10,733,633,1239,172.06,0.000%,1.46692,1.70,0.43,1189.8
userLogin,10,512,440,673,65.33,0.000%,1.37174,1.58,0.39,1182.6
getUserList,10,153,101,283,52.85,0.000%,1.38715,3.12,0.29,2302.7
getSingleUser,10,160,96,256,47.04,0.000%,1.33032,2.04,0.27,1571.7
createNewUser,10,576,440,1009,170.71,0.000%,1.25000,1.55,0.36,1266.8
updateUserData,10,576,443,853,117.98,0.000%,1.31944,1.61,0.38,1250.6
deleteUser,10,575,471,776,103.22,0.000%,1.29249,1.39,0.29,1098.5
TOTAL,70,469,96,1239,237.12,0.000%,4.92507,6.78,1.26,1409.0
