Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
userRegistration,10,733,663,763,763,1239,633,1239,0.000%,1.46692,1.70,0.43
userLogin,10,512,490,569,569,673,440,673,0.000%,1.37174,1.58,0.39
getUserList,10,153,133,205,205,283,101,283,0.000%,1.38715,3.12,0.29
getSingleUser,10,160,163,214,214,256,96,256,0.000%,1.33032,2.04,0.27
createNewUser,10,576,486,747,747,1009,440,1009,0.000%,1.25000,1.55,0.36
updateUserData,10,576,543,712,712,853,443,853,0.000%,1.31944,1.61,0.38
deleteUser,10,575,515,746,746,776,471,776,0.000%,1.29249,1.39,0.29
TOTAL,70,469,492,712,763,1009,96,1239,0.000%,4.92507,6.78,1.26
